"","to_taxa","from_taxa","from","to","cor","from_class","to_class","p_value","p_value_adjust","name","from_Kingdom","from_Phylum","from_Class","from_Order","from_Family","from_Genus","from_Species","to_Kingdom","to_Phylum","to_Class","to_Order","to_Family","to_Genus","to_Species","compare"
"17","ASV1081","ASV2706","stoolASV2706","stoolASV1081",0.347298046001644,"stool","stool",0,0,"stoolASV1081_stoolASV2706","Bacteria","Firmicutes","Clostridia","Clostridiales","Catabacteriaceae","Catabacter","Unclassified_Catabacter","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Monoglobus","Unclassified_Monoglobus","within"
"18","ASV1081","ASV1402","stoolASV1402","stoolASV1081",0.361737786199735,"stool","stool",0,0,"stoolASV1081_stoolASV1402","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Raoultibacter","Unclassified_Raoultibacter","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Monoglobus","Unclassified_Monoglobus","within"
"19","ASV1081","ASV1984","stoolASV1984","stoolASV1081",-0.295369726816159,"stool","stool",0,0,"stoolASV1081_stoolASV1984","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelatoclostridium","Unclassified_Erysipelatoclostridium","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Monoglobus","Unclassified_Monoglobus","within"
"20","ASV1081","ASV1189","stoolASV1189","stoolASV1081",0.267127662410842,"stool","stool",0,0,"stoolASV1081_stoolASV1189","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas","Unclassified_Intestinimonas","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Monoglobus","Unclassified_Monoglobus","within"
"21","ASV1081","ASV1668","stoolASV1668","stoolASV1081",-0.382974594039924,"stool","stool",0,0,"stoolASV1081_stoolASV1668","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Enterocloster","Unclassified_Enterocloster","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Monoglobus","Unclassified_Monoglobus","within"
"22","ASV11","ASV1411","nasalASV1411","nasalASV11",-0.25444452787165,"nasal","nasal",0,0,"nasalASV11_nasalASV1411","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Schaalia","Unclassified_Schaalia","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","catarrhalis","within"
"23","ASV111","ASV2312","stoolASV2312","stoolASV111",0.347930957130121,"stool","stool",0,0,"stoolASV111_stoolASV2312","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","piger","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaeromassilibacillus","Unclassified_Anaeromassilibacillus","within"
"24","ASV111","ASV373","stoolASV373","stoolASV111",-0.279575714197739,"stool","stool",0,0,"stoolASV111_stoolASV373","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Unclassified_Veillonella","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaeromassilibacillus","Unclassified_Anaeromassilibacillus","within"
"25","ASV111","ASV267","stoolASV267","stoolASV111",0.353306614629214,"stool","stool",0,0,"stoolASV111_stoolASV267","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Dysosmobacter","Unclassified_Dysosmobacter","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaeromassilibacillus","Unclassified_Anaeromassilibacillus","within"
"26","ASV111","ASV1984","stoolASV1984","stoolASV111",0.298542667901364,"stool","stool",0,0,"stoolASV111_stoolASV1984","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelatoclostridium","Unclassified_Erysipelatoclostridium","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaeromassilibacillus","Unclassified_Anaeromassilibacillus","within"
"27","ASV111","ASV2080","stoolASV2080","stoolASV111",0.380847111460045,"stool","stool",0,0,"stoolASV111_stoolASV2080","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Cloacibacillus","evryensis","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaeromassilibacillus","Unclassified_Anaeromassilibacillus","within"
